Brand,Model Name,Color,Display Size,Resolution,Operating System,Processor,Storage,RAM,Expandable Storage,Primary Camera,Secondary Camera,Connectivity,In Box
MOTOROLA,G32,Mineral Gray,16.64 cm (6.55 inch),2400 x 1080 Pixels,Android 12,Qualcomm Snapdragon 680,128 GB,8 GB,Dedicated Slot,50MP + 8MP + 2MP,"16MP Camera Setup: (f/2.2 Aperture, 1.0um Pixel Size, Quad Pixel Technology for 2.0um), Camera Feature: Screen Flash, Auto HDR, Timer, Face Beauty, Auto Smile Capture, Cinemagraph, Portrait Mode, Group Selfie, Spot Color, Live Filter, Active Photos, Gesture Selfie , Video Feature: Dual Capture, Spot Color, Timelapse (W/Hyperlapse), Face Beauty, Video Snapshot, Efficient Videos","4G, 3G, 2G","Handset, Charger, USB Cable, Guides, Sim Tool"
POCO,C50,Royal Blue,16.56 cm (6.52 inch),1600 x 720 Pixels,Android 12 Go,"Mediatek Helio A22 Processor, Upto 2.0 GHz",32 GB,2 GB,MicroSD,8MP Dual Camera,5 MP Camera Setup,"4G VOLTE, 4G, 3G, 2G","Handset, 10W Travel Adapter, USB Cable, Sim Eject Tool, Quick Start Guide, Warranty Card"
MOTOROLA,g31,Baby Blue,16.26 cm (6.4 inch),2400 x 1080 Pixels,Android 11,Mediatek Helio G85,128 GB,6 GB,MicroSD,50MP + 8MP + 2MP,"13 MP Camera (f/2.2 Aperture, 1.12um Pixel Size), Camera Feature: Dual Capture, Spot Color, Night Vision, Cinemagraph, Portrait, Live Filter, Group Selfie, Pro Mode (W/Long Exposure), Artificial Intelligence: Low Light AI Selfie, Shot Optimization, Auto Smile Capture, Gesture Capture, Selfie Animation, Face Beauty, RAW Photo Output, HDR, Timer, Active Photos, Assistive Grid, Leveler, Watermark, Burst shot, Video Feature: Timelapse (W/Hyperlapse), Slow Motion, Video Stabilization, Video Snapshot",Yes,"Handset, Charger, Sim Tool, USB Cable, Guides"
Nokia,105 SS,Blue,4.5 cm (1.77 inch),160 x 128 Pixels,Symbian,SC6531E,32 MB,32 MB,MicroSD,No,Yes,2G,"Handset, Battery, Charger, User Guide"
Nokia,105 SS,Blue,4.5 cm (1.77 inch),160 x 128 Pixels,Symbian,SC6531E,32 MB,32 MB,MicroSD,No,Yes,2G,"Handset, Battery, Charger, User Guide"
vivo,T1 44W,Starry Sky,16.36 cm (6.44 inch),2400 x 1080 Pixel,Android 12,Qualcomm Snapdragon 680,128 GB,8 GB,Hybrid Slot,50MP + 2MP + 2MP,16MP Camera Setup: (f/2.0 Aperture),"4G, 3G, 2G","Handset, Type-C to USB Cable, USB Power Adapter, Sim Eject Tool, Protective Case, Protective Film (Applied), Documentation"
MOTOROLA,g31,Meteorite Grey,16.26 cm (6.4 inch),2400 x 1080 Pixels,Android 11,Mediatek Helio G85,64 GB,4 GB,MicroSD,50MP + 8MP + 2MP,"13 MP Camera (f/2.2 Aperture, 1.12um Pixel Size), Camera Feature: Dual Capture, Spot Color, Night Vision, Cinemagraph, Portrait, Live Filter, Group Selfie, Pro Mode (W/Long Exposure), Artificial Intelligence: Low Light AI Selfie, Shot Optimization, Auto Smile Capture, Gesture Capture, Selfie Animation, Face Beauty, RAW Photo Output, HDR, Timer, Active Photos, Assistive Grid, Leveler, Watermark, Burst shot, Video Feature: Timelapse (W/Hyperlapse), Slow Motion, Video Stabilization, Video Snapshot",Yes,"Handset, Charger, Sim Tool, USB Cable, Guides"
MOTOROLA,G62 5G,Midnight Gray,16.64 cm (6.55 inch),2400 x 1080 Pixels,Android 12,Qualcomm Snapdragon 695 5G,128 GB,8 GB,Hybrid Slot,50MP + 8MP + 2MP,"16MP Camera Setup: Camera Feature: Camera Feature: Dual Capture, Spot Color, Night Vision, Cinemograph, Portrait, Live Filter, Group Selfie, Pro Mode (W/ Long Exposure), Artificial Intelligence: Low Light AI Selfie, Shot Optimization, Auto Smile Capture, Gesture Capture, Other Features: Selfie Animation, Face Beauty, RAW Photo Output, HDR, Timer, Active Photos, Assistive Grid, Leveler, Watermark, Burst Shot, Video Feature: Dual Capture, Spot Color, Timelapse (W/ Hyperlapse), Slow Motion, Other Features: Video Stabilization, Face Beauty, Video Snapshot","5G, 4G, 3G, 2G","Handset, Charger, USB Cable, Guides, Sim Tool, Protective Cover"
MOTOROLA,G32,Satin Silver,16.64 cm (6.55 inch),2400 x 1080 Pixels,Android 12,Qualcomm Snapdragon 680,128 GB,8 GB,Dedicated Slot,50MP + 8MP + 2MP,"16MP Camera Setup: (f/2.2 Aperture, 1.0um Pixel Size, Quad Pixel Technology for 2.0um), Camera Feature: Screen Flash, Auto HDR, Timer, Face Beauty, Auto Smile Capture, Cinemagraph, Portrait Mode, Group Selfie, Spot Color, Live Filter, Active Photos, Gesture Selfie , Video Feature: Dual Capture, Spot Color, Timelapse (W/Hyperlapse), Face Beauty, Video Snapshot, Efficient Videos","4G, 3G, 2G","Handset, Charger, USB Cable, Guides, Sim Tool"
SAMSUNG,Galaxy F14 5G,OMG Black,16.76 cm (6.6 inch),2408 x 1080 Pixels,Android 13,"Exynos 1330, Octa Core",128 GB,4 GB,MicroSD,50MP + 2MP,13MP Front Camera,"2G, 3G, 4G, 5G","Handset, Type-C Data Cable, Quick Start Guide, Sim Ejection Pin"
