Brand,Name,Rating,Price,RAM,ROM,Expandable Storage,Screen Size (inch),Screen Size (cm),Rear Cam,Selfie Cam,Battery,Processor,Image Link
MOTOROLA,e13,4,"7,749",4,64,1,6.5,16.51,13,5,5000,Unisoc T606 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/8/u/c/-original-imagmmmh6ezhc2wu.jpeg?q=70
POCO,M4,4.2,"12,999",4,64,512,6.58,16.71,50,8,5000,Mediatek Dimensity 700 Processor,https://rukminim1.flixcart.com/image/312/312/l2jcccw0/mobile/i/1/y/-original-imagdu8gtefvchbn.jpeg?q=70
SAMSUNG,Galaxy,4.2,"15,990",6,128,1,6.6,16.76,50,13,6000,"Exynos 1330, Octa Core Processor",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/e/0/c/galaxy-f14-5g-sm-e146blvgins-samsung-original-imagnzdkxyfqhd6r.jpeg?q=70
Infinix,Hot,4.3,"8,499",4,64,,6.82,17.32,50,8,6000,Meditek Helio G37 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/y/9/z/-original-imagh4bbndqmytqg.jpeg?q=70
Infinix,Hot,4.3,"8,499",4,64,,6.82,17.32,50,8,6000,Meditek Helio G37 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/v/9/3/-original-imagh4bbs7q2gabh.jpeg?q=70
Infinix,Hot,4.3,"8,499",4,64,,6.82,17.32,50,8,6000,Meditek Helio G37 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/0/v/c/-original-imagh4bbtgkz4xxg.jpeg?q=70
Infinix,Hot,4.3,"8,499",4,64,,6.82,17.32,50,8,6000,Meditek Helio G37 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/v/q/d/-original-imagh4bbvnrhc754.jpeg?q=70
SAMSUNG,Galaxy,4.4,"10,999",4,64,1,6.6,16.76,50,8,6000,Exynos 850 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/i/v/-original-imagfhu6bdzhnmkz.jpeg?q=70
APPLE,iPhone,4.6,"71,999",128,,,6.1,15.49,12,12,A15,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/m/o/b/-original-imaghx9qkugtbfrn.jpeg?q=70
REDMI,10,4.3,"9,999",4,64,1,6.7,17.02,50,5,6000,Qualcomm Snapdragon 680 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/q/g/a/-original-imagndzzegs4guek.jpeg?q=70
realme,10,4.4,"19,999",8,128,1,6.72,17.07,108,16,5000,Qualcomm Snapdragon 695 5G Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/n/s/-original-imagkp8yxmxzhjes.jpeg?q=70
realme,10,4.4,"18,999",6,128,1,6.72,17.07,108,16,5000,Qualcomm Snapdragon 695 5G Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/n/s/-original-imagkp8yxmxzhjes.jpeg?q=70
realme,10,4.4,"18,999",6,128,1,6.72,17.07,108,16,5000,Qualcomm Snapdragon 695 5G Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/8/u/s/-original-imagkp8yreabrzh2.jpeg?q=70
POCO,M4,4.2,"12,999",4,64,512,6.58,16.71,50,8,5000,Mediatek Dimensity 700 Processor,https://rukminim1.flixcart.com/image/312/312/l2jcccw0/mobile/i/p/o/-original-imagdu8j9vxscfdh.jpeg?q=70
POCO,X5,4.4,"22,999",6,128,,6.67,16.94,108,16,5000,Qualcomm Snapdragon 778G Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/n/v/2/-original-imagmkjfjwtzhaag.jpeg?q=70
SAMSUNG,Galaxy,4.2,"14,490",4,128,1,6.6,16.76,50,13,6000,"Exynos 1330, Octa Core Processor",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/j/b/r/galaxy-f14-5g-sm-e146bzkhins-samsung-original-imagnzdkvrt2sxrq.jpeg?q=70
REDMI,10,4.3,"9,999",4,64,1,6.7,17.02,50,5,6000,Qualcomm Snapdragon 680 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/q/j/-original-imagk4nzwhudqhcz.jpeg?q=70
Infinix,Smart,4.3,"5,999",2,32,512,6.6,16.76,8,5,5000,Mediatek Helio A22 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/f/y/1/-original-imaggvxcnyfnfude.jpeg?q=70
Infinix,Smart,4.3,"5,999",2,32,512,6.6,16.76,8,5,5000,Mediatek Helio A22 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/c/o/z/-original-imaggvx8xndbbssj.jpeg?q=70
POCO,M4,4.2,"14,999",6,128,512,6.58,16.71,50,8,5000,Mediatek Dimensity 700 Processor,https://rukminim1.flixcart.com/image/312/312/l2jcccw0/mobile/i/1/y/-original-imagdu8gtefvchbn.jpeg?q=70
APPLE,iPhone,4.6,"71,999",128,,,6.1,15.49,12,12,A15,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/m/o/b/-original-imaghx9qkugtbfrn.jpeg?q=70
SAMSUNG,Galaxy,4.3,"16,999",6,128,1,6.6,16.76,50,8,5000,Qualcomm Snapdragon 750G Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/o/p/z/-original-imagcg22pf79cgau.jpeg?q=70
MOTOROLA,g73,4,"18,999",8,128,1,6.5,16.51,50,16,5000,Mediatek Dimensity 930 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/r/k/h/g73-5g-paux0023in-motorola-original-imagngjh7epkhqdg.jpeg?q=70
REDMI,A1+,4.2,"6,999",2,32,512,6.52,16.56,8,5,5000,Mediatek Helio A22 Processor,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/j/r/-original-imagjyhyaf7tdxnc.jpeg?q=70
