Phone name,Rating,Number of ratings,RAM,Storage,Display,Camera,Battery,Processor
"Infinix Hot 12 (Exploratory Blue, 64 GB)",4.3,"17,048 Ratings",4 GB RAM ,64 GB ROM,17.32 cm (6.82 inch) HD+ Display,50 MP + 2 MP Depth Lens + AI Lens | 8MP Front Camera,6000 mAh Lithium-ion Polymer Battery,Meditek Helio G37 Processor
"POCO M4 Pro 5G (Cool Blue, 64 GB)",4.3,"37,804 Ratings",4 GB RAM ,64 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Dimensity 810 Processor
"MOTOROLA g22 (Cosmic Black, 64 GB)",3.7,"28,250 Ratings",4 GB RAM ,64 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Helio G37 Processor
"MOTOROLA g31 (Meteorite Grey, 64 GB)",4.2,"32,892 Ratings",4 GB RAM ,64 GB ROM,16.26 cm (6.4 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,5000 mAh LiPo Battery,Mediatek Helio G85 Processor
"REDMI 9i Sport (Metallic Blue, 64 GB)",4.3,"2,27,728 Ratings",4 GB RAM ,64 GB ROM,16.59 cm (6.53 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Li-Polymer Battery,MediaTek Helio G25 Processor
"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)",4.3,"1,50,714 Ratings",6 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 750G Processor
"POCO X4 Pro 5G (Laser Black, 128 GB)",4.1,"15,952 Ratings",8 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 695 5G Processor
"Infinix Hot 12 (Turquoise Cyan, 64 GB)",4.3,"17,048 Ratings",4 GB RAM ,64 GB ROM,17.32 cm (6.82 inch) HD+ Display,50 MP + 2 MP Depth Lens + AI Lens | 8MP Front Camera,6000 mAh Lithium-ion Polymer Battery,Meditek Helio G37 Processor
"Infinix Hot 12 (Polar Black, 64 GB)",4.3,"17,048 Ratings",4 GB RAM ,64 GB ROM,17.32 cm (6.82 inch) HD+ Display,50 MP + 2 MP Depth Lens + AI Lens | 8MP Front Camera,6000 mAh Lithium-ion Polymer Battery,Meditek Helio G37 Processor
"POCO X4 Pro 5G (Laser Blue, 128 GB)",4.2,"69,671 Ratings",6 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 695 5G Processor
"POCO M4 Pro 5G (Power Black, 128 GB)",4.2,"11,205 Ratings",8 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Dimensity 810 Processor
"MOTOROLA g42 (Metallic Rose, 64 GB)",4.2,"4,719 Ratings",4 GB RAM ,64 GB ROM,16.43 cm (6.47 inch) Full HD+ AMOLED Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium polymer Battery,Qualcomm Snapdragon 680 Processor
"Infinix Smart 6 (Light Sea Green, 64 GB)",4.3,"29,359 Ratings",2 GB RAM ,64 GB ROM,16.76 cm (6.6 inch) HD+ Display,8 MP + Depth Lens | 5MP Front Camera,5000 mAh Li-ion Polymer Battery,Mediatek Helio A22 Processor
"POCO M4 Pro (Yellow, 64 GB)",4.3,"1,43,730 Ratings",6 GB RAM ,64 GB ROM,16.33 cm (6.43 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G96 Processor
"realme C30 (Lake Blue, 32 GB)",4.3,"77,788 Ratings",2 GB RAM ,32 GB ROM,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Ion Battery,Unisoc T612 Processor
"MOTOROLA G32 (Satin Silver, 64 GB)",4.2,"24,479 Ratings",4 GB RAM ,64 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor
"POCO X4 Pro 5G (Laser Blue, 128 GB)",4.1,"15,952 Ratings",8 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 695 5G Processor
"POCO M4 5G (Yellow, 64 GB)",4.2,"50,529 Ratings",4 GB RAM ,64 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor
"realme 10 (Clash White, 64 GB)",4.4,"2,056 Ratings",4 GB RAM ,64 GB ROM,16.26 cm (6.4 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Mediatek Helio G99 Octa Core Processor
"POCO X4 Pro 5G (Yellow, 128 GB)",4.2,"69,671 Ratings",6 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 695 5G Processor
"realme 10 (Rush Black, 64 GB)",4.4,"2,056 Ratings",4 GB RAM ,64 GB ROM,16.26 cm (6.4 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Mediatek Helio G99 Octa Core Processor
"Infinix Hot 20 5G (Blaster Green, 128 GB)",4.2,223 Ratings,6 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,50MP + AI Lens | 8MP Front Camera,5000 mAh Li-ion Polymer Battery,Dimensity 810 Processor
"POCO C50 (Country Green, 32 GB)",4.4,"1,674 Ratings",2 GB RAM ,32 GB ROM,16.56 cm (6.52 inch) HD+ Display,8MP Dual Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor"
