Index,Link
3,/vivo-t1-44w-starry-sky-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVHYFKQP8K&lid=LSTMOBGDRHVHYFKQP8KO8XQJV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_50&otracker=browse&fm=organic&iid=ce415604-22de-476d-ab4c-b2624531a045.MOBGDRHVHYFKQP8K.SEARCH&ppt=None&ppn=None&ssid=2a6wd6d8c00000001680363644513
3,/motorola-g31-meteorite-grey-64-gb/p/itmbdda30a7812a0?pid=MOBG3E8WK7736ZH5&lid=LSTMOBG3E8WK7736ZH5GKDI1F&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_51&otracker=browse&fm=organic&iid=ce415604-22de-476d-ab4c-b2624531a045.MOBG3E8WK7736ZH5.SEARCH&ppt=None&ppn=None&ssid=2a6wd6d8c00000001680363644513
3,/motorola-g62-5g-midnight-gray-128-gb/p/itm88e51821facb9?pid=MOBGEDT83FAAATHZ&lid=LSTMOBGEDT83FAAATHZIGYOEL&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_52&otracker=browse&fm=organic&iid=ce415604-22de-476d-ab4c-b2624531a045.MOBGEDT83FAAATHZ.SEARCH&ppt=None&ppn=None&ssid=2a6wd6d8c00000001680363644513
3,/motorola-g32-satin-silver-128-gb/p/itm8e7224d29bfc6?pid=MOBGM2EHGUNGDDQR&lid=LSTMOBGM2EHGUNGDDQRKIBLDP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_53&otracker=browse&fm=organic&iid=ce415604-22de-476d-ab4c-b2624531a045.MOBGM2EHGUNGDDQR.SEARCH&ppt=None&ppn=None&ssid=2a6wd6d8c00000001680363644513
3,/samsung-galaxy-f14-5g-omg-black-128-gb/p/itm0d3b7a1452e4c?pid=MOBGNBFNDYQR9WH4&lid=LSTMOBGNBFNDYQR9WH4WXOLMD&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_54&otracker=browse&fm=organic&iid=ce415604-22de-476d-ab4c-b2624531a045.MOBGNBFNDYQR9WH4.SEARCH&ppt=None&ppn=None&ssid=2a6wd6d8c00000001680363644513
3,/apple-iphone-14-starlight-128-gb/p/itm3485a56f6e676?pid=MOBGHWFHABH3G73H&lid=LSTMOBGHWFHABH3G73HVXY5AV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_55&otracker=browse&fm=organic&iid=ce415604-22de-476d-ab4c-b2624531a045.MOBGHWFHABH3G73H.SEARCH&ppt=None&ppn=None&ssid=2a6wd6d8c00000001680363644513
3,/motorola-e13-cosmic-black-64-gb/p/itm6e3f9b274eef3?pid=MOBGKHNBBMSUE94W&lid=LSTMOBGKHNBBMSUE94WYZAYPS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_56&otracker=browse&fm=organic&iid=ce415604-22de-476d-ab4c-b2624531a045.MOBGKHNBBMSUE94W.SEARCH&ppt=None&ppn=None&ssid=2a6wd6d8c00000001680363644513
3,/poco-c50-country-green-32-gb/p/itmceaa9370920fd?pid=MOBGK8WZYEJ3G5AA&lid=LSTMOBGK8WZYEJ3G5AAMF47BF&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=FkPickId_tyy%2F4io&srno=b_3_57&otracker=browse&fm=organic&iid=ce415604-22de-476d-ab4c-b2624531a045.MOBGK8WZYEJ3G5AA.SEARCH&ppt=None&ppn=None&ssid=2a6wd6d8c00000001680363644513
3,/poco-c55-forest-green-128-gb/p/itm7ed4c1ff2689f?pid=MOBGMXSWCYATKHYR&lid=LSTMOBGMXSWCYATKHYRK6MOJZ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_58&otracker=browse&fm=organic&iid=ce415604-22de-476d-ab4c-b2624531a045.MOBGMXSWCYATKHYR.SEARCH&ppt=None&ppn=None&ssid=2a6wd6d8c00000001680363644513
3,/poco-m4-pro-5g-yellow-64-gb/p/itm0c88c16a094e4?pid=MOBGBEU9DCXFYSBV&lid=LSTMOBGBEU9DCXFYSBVDHTXX1&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_59&otracker=browse&fm=organic&iid=ce415604-22de-476d-ab4c-b2624531a045.MOBGBEU9DCXFYSBV.SEARCH&ppt=None&ppn=None&ssid=2a6wd6d8c00000001680363644513
3,/realme-10-pro-5g-nebula-blue-128-gb/p/itm1e672d12a252e?pid=MOBGK8VHX6FDJPCE&lid=LSTMOBGK8VHX6FDJPCEW9XIEE&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_60&otracker=browse&fm=organic&iid=ce415604-22de-476d-ab4c-b2624531a045.MOBGK8VHX6FDJPCE.SEARCH&ppt=None&ppn=None&ssid=2a6wd6d8c00000001680363644513
3,/poco-m4-pro-5g-cool-blue-128-gb/p/itma0904b0c413a4?pid=MOBGBEU7BGWZNBYY&lid=LSTMOBGBEU7BGWZNBYYXGBTUG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_61&otracker=browse&fm=organic&iid=ce415604-22de-476d-ab4c-b2624531a045.MOBGBEU7BGWZNBYY.SEARCH&ppt=None&ppn=None&ssid=2a6wd6d8c00000001680363644513
3,/motorola-g52-metallic-white-128-gb/p/itm469efad765b98?pid=MOBGAKFYDDSNZGR8&lid=LSTMOBGAKFYDDSNZGR8W6QBUV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_62&otracker=browse&fm=organic&iid=ce415604-22de-476d-ab4c-b2624531a045.MOBGAKFYDDSNZGR8.SEARCH&ppt=None&ppn=None&ssid=2a6wd6d8c00000001680363644513
3,/poco-m4-5g-yellow-64-gb/p/itm5bd9222dd1355?pid=MOBGDRGPBZHUC3VZ&lid=LSTMOBGDRGPBZHUC3VZKR84R7&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_63&otracker=browse&fm=organic&iid=ce415604-22de-476d-ab4c-b2624531a045.MOBGDRGPBZHUC3VZ.SEARCH&ppt=None&ppn=None&ssid=2a6wd6d8c00000001680363644513
3,/realme-10-pro-5g-nebula-blue-128-gb/p/itm1e672d12a252e?pid=MOBGK8VHHFY5VCAY&lid=LSTMOBGK8VHHFY5VCAYOXEXVI&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_64&otracker=browse&fm=organic&iid=ce415604-22de-476d-ab4c-b2624531a045.MOBGK8VHHFY5VCAY.SEARCH&ppt=None&ppn=None&ssid=2a6wd6d8c00000001680363644513
